order,nrowMRD,jfID,ncolfrLast
6468,47241,X908015219015_A_1,47241
6469,38484,X908014125003_B_1,34334
6470,43478,X908015139005_G_10,43478
6471,50053,X908015257012_E_8,50053
6472,50046,X908015257012_E_12,50046
6473,47983,X908015229003_B_8,47983
6474,39988,X908014171009_B_5,35822
6475,34542,X908013163014_D_6,31587
6476,40123,X908014171010_F_1,35957
6477,39182,X908014162005_F_5,35016
6478,40247,X908014171011_H_6,36081
6479,44169,X908015145001_B_7,44169
6480,46755,X908015219009_F_3,46755
6481,40671,X908014171016_D_7,36505
6482,38996,X908014162002_G_5,34830
6483,49513,X908015257006_D_9,49513
6484,36839,X908013253010_A_2,27356
6485,36501,X908013253006_D_4,27020
6486,34231,X908013163010_B_5,31276
6487,46866,X908015219010_H_1,46866
6488,36048,X908013253001_F_11,26571
6489,33258,X908013142009_E_11,30366
6490,45606,X908015154002_H_4,45606
6491,34724,X908013163016_H_7,31769
6492,35140,X908013183004_E_11,32185
6493,38471,X908014125002_H_7,34321
6494,34010,X908013163007_G_4,31055
6495,44022,X908015139013_C_8,44022
6496,46326,X908015154044_E_3,46326
6497,44962,X908015145011_E_10,44962
6498,38540,X908014125003_F_9,34390
